AD NAME,"SENTIENT REVIEW LINK
(catcher page)",ID,Expires,Payout,ad_code,width,height,homepage?,video_page?,other_pages?,is_text_ad,,,,,,
Callaway FT-5 Tour Driver and Iron Set I Zip Submit ,http://producttestpanel.com/ft5/?lid=::add-8619_ft5_35435&add_offerid=582235&addomain=grz67.com,5765,1/29/09,$0.85,"<a href='http://x.azjmp.com/1GrLF'><img src='http://images1.azoogleads.com/ssa/5765_banners/127628.gif' border='0'></a><div style='position:relative left:-1px; top:-1px;'><img src=""http://i.azjmp.com/1GrLH"" height=""1"" width=""1""></div>",720,300,no,no,mess_board_bottom,no,,,,,,
Cricket,http://www.mycricket.com/cricketplans/details/cricketconnect50?img=18&cvid=1679&SUB=35435&nsrc=az2&click_hash=21Iz3Z4,5514,11/27/08,$16.75,"<a href='http://x.azjmp.com/1GrRg'><img src='http://images1.azoogleads.com/ssa/5514_banners/117434.gif' border='0'></a><div style='position:relative left:-1px; top:-1px;'><img src=""http://i.azjmp.com/1GrRj"" height=""1"" width=""1""></div>",120,60,no,no,mess_board_right bottom,no,,,,,,
Cricket,http://www.mycricket.com/cricketplans/details/cricketconnect50?img=18&cvid=1679&SUB=35435&nsrc=az2&click_hash=21Iz3Z4,5514,11/27/08,$16.75,"<a href='http://x.azjmp.com/1GrRl'><img src='http://images1.azoogleads.com/ssa/5514_banners/118237.jpg' border='0'></a><div style='position:relative left:-1px; top:-1px;'><img src=""http://i.azjmp.com/1GrRn"" height=""1"" width=""1""></div>",120,600,no,no,mess_board_right,no,,,,,,
Cricket,http://www.mycricket.com/cricketplans/details/cricketconnect50?img=18&cvid=1679&SUB=35435&nsrc=az2&click_hash=21Iz3Z4,5514,11/27/08,$16.75,"<a href='http://x.azjmp.com/1GrS7'><img src='http://images1.azoogleads.com/ssa/5514_banners/117437.jpg' border='0'></a><div style='position:relative left:-1px; top:-1px;'><img src=""http://i.azjmp.com/1GrS9"" height=""1"" width=""1""></div>",160,600,no,no,mess_board_right,no,,,,,,
Cricket,http://www.mycricket.com/cricketplans/details/cricketconnect50?img=18&cvid=1679&SUB=35435&nsrc=az2&click_hash=21Iz3Z4,5514,11/27/08,$16.75,"<a href='http://x.azjmp.com/1GrT1'><img src='http://images1.azoogleads.com/ssa/5514_banners/118240.jpg' border='0'></a><div style='position:relative left:-1px; top:-1px;'><img src=""http://i.azjmp.com/1GrT3"" height=""1"" width=""1""></div>",300,250,yes,yes,mess_board_bottom,no,,,,,,
Cricket,http://www.mycricket.com/cricketplans/details/cricketconnect50?img=18&cvid=1679&SUB=35435&nsrc=az2&click_hash=21Iz3Z4,5514,11/27/08,$16.75,"<a href='http://x.azjmp.com/1GrTF'><img src='http://images1.azoogleads.com/ssa/5514_banners/117442.jpg' border='0'></a><div style='position:relative left:-1px; top:-1px;'><img src=""http://i.azjmp.com/1GrTH"" height=""1"" width=""1""></div>",720,300,no,no,mess_board_bottom,no,,,,,,
DelightfulDeliveries.com,http://www.delightfuldeliveries.com/eoneCommerce/Shop?Dsp=20005&mrefOccasion=Valentines%20Day&mrefOccasiontypem=1&SOURCE=AZOOGLE&KEYWORD=35435,4028,12/15/08,$11.00,"<a href='http://x.azjmp.com/1GrVl'><img src='http://images.imgehost.com/4028/banners/04242007/Mom-120x60-green.jpg' border='0'></a><div style='position:relative left:-1px; top:-1px;'><img src=""http://i.azjmp.com/1GrVn"" height=""1"" width=""1""></div>",120,60,no,no,mess_board_right bottom,no,,,,,,
DelightfulDeliveries.com,http://www.delightfuldeliveries.com/eoneCommerce/Shop?Dsp=20005&mrefOccasion=Valentines%20Day&mrefOccasiontypem=1&SOURCE=AZOOGLE&KEYWORD=35435,4028,12/15/08,$11.00,"<a href='http://x.azjmp.com/1GrVx'><img src='http://images.imgehost.com/4028/banners/04232007/Mom-120x60-Gourmet.jpg' border='0'></a><div style='position:relative left:-1px; top:-1px;'><img src=""http://i.azjmp.com/1GrVz"" height=""1"" width=""1""></div>",120,60,no,no,mess_board_right bottom,no,,,,,,
eHarmony,http://www.eharmony.com/singles/servlet/registration?cid=1237&aid=35435,4446,9/26/08,$3.95,"<object classid=""clsid:D27CDB6E-AE6D-11cf-96B8-444553540000"" codebase=""http://download.macromedia.com/pub/shockwave/cabs/flash/swflash.cab#version=6"" width=""120"" height=""600"">
<param name=""movie"" value=""http://i.1100i.com/4446/flash/04252007/eH_Becky_120x600.swf"" />
<param name=""quality"" value=""high"" />
<param name=""flashvars"" value=""clickTAG=http://x.azjmp.com/1Grc7"" />
<embed src=""http://i.1100i.com/4446/flash/04252007/eH_Becky_120x600.swf?clickTAG=http://x.azjmp.com/1Grc7"" quality=""high"" pluginspage=""http://www.macromedia.com/go/getflashplayer"" type=""application/x-shockwave-flash"" width=""120"" height=""600""></embed>
</object><img src=""http://i.azjmp.com/1Grc9"" height=""1"" width=""1"">",120,600,no,no,mess_board_right,no,,,,,,
eHarmony,http://www.eharmony.com/singles/servlet/registration?cid=1237&aid=35435,4446,9/26/08,$3.95,"<object classid=""clsid:D27CDB6E-AE6D-11cf-96B8-444553540000"" codebase=""http://download.macromedia.com/pub/shockwave/cabs/flash/swflash.cab#version=6"" width=""160"" height=""600"">
<param name=""movie"" value=""http://i.1100i.com/4446/flash/04252007/160x600c.swf"" />
<param name=""quality"" value=""high"" />
<param name=""flashvars"" value=""clickTAG=http://x.azjmp.com/1GrX7"" />
<embed src=""http://i.1100i.com/4446/flash/04252007/160x600c.swf?clickTAG=http://x.azjmp.com/1GrX7"" quality=""high"" pluginspage=""http://www.macromedia.com/go/getflashplayer"" type=""application/x-shockwave-flash"" width=""160"" height=""600""></embed>
</object><img src=""http://i.azjmp.com/1GrX9"" height=""1"" width=""1"">",160,600,no,no,mess_board_right,no,,,,,,
eHarmony,http://www.eharmony.com/singles/servlet/registration?cid=1237&aid=35435,4446,9/26/08,$3.95,"<object classid=""clsid:D27CDB6E-AE6D-11cf-96B8-444553540000"" codebase=""http://download.macromedia.com/pub/shockwave/cabs/flash/swflash.cab#version=6"" width=""300"" height=""250"">
<param name=""movie"" value=""http://i.1100i.com/4446/flash/04252007/300x250b.swf"" />
<param name=""quality"" value=""high"" />
<param name=""flashvars"" value=""clickTAG=http://x.azjmp.com/1GrWs"" />
<embed src=""http://i.1100i.com/4446/flash/04252007/300x250b.swf?clickTAG=http://x.azjmp.com/1GrWs"" quality=""high"" pluginspage=""http://www.macromedia.com/go/getflashplayer"" type=""application/x-shockwave-flash"" width=""300"" height=""250""></embed>
</object><img src=""http://i.azjmp.com/1GrWv"" height=""1"" width=""1"">",300,250,yes,yes,mess_board_bottom,no,,,,,,
eHarmony,http://www.eharmony.com/singles/servlet/registration?cid=1237&aid=35435,4446,9/26/08,$3.95,"<object classid=""clsid:D27CDB6E-AE6D-11cf-96B8-444553540000"" codebase=""http://download.macromedia.com/pub/shockwave/cabs/flash/swflash.cab#version=6"" width=""300"" height=""250"">
<param name=""movie"" value=""http://i.1100i.com/4446/flash/04252007/eH_Theresa_300x250.swf"" />
<param name=""quality"" value=""high"" />
<param name=""flashvars"" value=""clickTAG=http://x.azjmp.com/1GrX3"" />
<embed src=""http://i.1100i.com/4446/flash/04252007/eH_Theresa_300x250.swf?clickTAG=http://x.azjmp.com/1GrX3"" quality=""high"" pluginspage=""http://www.macromedia.com/go/getflashplayer"" type=""application/x-shockwave-flash"" width=""300"" height=""250""></embed>
</object><img src=""http://i.azjmp.com/1GrX5"" height=""1"" width=""1"">",300,250,yes,yes,mess_board_bottom,no,,,,,,
Entertainment,http://www.entertainment.com/discount/?linkName=060802_FEL_EMAIL_36,2949,11/31/2008,$7.50,"<a href='http://x.azjmp.com/1GrdT'><img src='http://images.imgehost.com/2949/banners/10052007/au_31787_oct07_120x60.gif' border='0'></a><div style='position:relative left:-1px; top:-1px;'><img src=""http://i.azjmp.com/1GrdW"" height=""1"" width=""1""></div>",120,60,no,no,mess_board_right bottom,no,,,,,,
Entertainment,http://www.entertainment.com/discount/?linkName=060802_FEL_EMAIL_36,2949,11/31/2008,$7.50,"<a href='http://x.azjmp.com/1Grfj'><img src='http://images.imgehost.com/2949/banners/09072007/au_30432_07bnr_120x60.gif' border='0'></a><div style='position:relative left:-1px; top:-1px;'><img src=""http://i.azjmp.com/1Grfl"" height=""1"" width=""1""></div>",120,60,no,no,mess_board_right bottom,no,,,,,,
Entertainment,http://www.entertainment.com/discount/?linkName=060802_FEL_EMAIL_36,2949,11/31/2008,$7.50,"<a href='http://x.azjmp.com/1Grfs'><img src='http://images.imgehost.com/2949/banners/10052007/au_31787_oct07_120x600.gif' border='0'></a><div style='position:relative left:-1px; top:-1px;'><img src=""http://i.azjmp.com/1Grfv"" height=""1"" width=""1""></div>",120,600,no,no,mess_board_right,no,,,,,,
Entertainment,http://www.entertainment.com/discount/?linkName=060802_FEL_EMAIL_36,2949,11/31/2008,$7.50,"<a href='http://x.azjmp.com/1Grg3'><img src='http://images1.azoogleads.com/ssa/2949_banners/126510.gif' border='0'></a><div style='position:relative left:-1px; top:-1px;'><img src=""http://i.azjmp.com/1Grg5"" height=""1"" width=""1""></div>",120,600,no,no,mess_board_right,no,,,,,,
Entertainment,http://www.entertainment.com/discount/?linkName=060802_FEL_EMAIL_36,2949,11/31/2008,$7.50,"<a href='http://x.azjmp.com/1GrgH'><img src='http://images.imgehost.com/4210/banners/06062007/ENT_seasonal_160x600.jpg' border='0'></a><div style='position:relative left:-1px; top:-1px;'><img src=""http://i.azjmp.com/1GrgK"" height=""1"" width=""1""></div>",160,600,no,no,mess_board_right,no,,,,,,
Exclusive RockinRinger,http://ad.jamster.com/landingpages/campaigns/int_o_flow/blue_3cat/?adv_partner=0010&partner_var=159,3375,1/1/09,$13.00,"<a href='http://x.azjmp.com/1GsTn'><img src='http://images.imgehost.com/3375/banners/11022006/xmas_120x60_3375.gif' border='0'></a><div style='position:relative left:-1px; top:-1px;'><img src=""http://i.azjmp.com/1GsTq"" height",120,60,no,no,mess_board_right bottom,no,,,,,,
Exclusive RockinRinger,http://ad.jamster.com/landingpages/campaigns/int_o_flow/blue_3cat/?adv_partner=0010&partner_var=159,3375,1/1/09,$13.00,"<a href='http://x.azjmp.com/1GsTv'><img src='http://images.imgehost.com/1885/banners/12212006/120x600_simon.gif' border='0'></a><div style='position:relative left:-1px; top:-1px;'><img src=""http://i.azjmp.com/1GsTx"" height=""1"" width=""1""></div>",120,600,no,no,mess_board_right,no,,,,,,
Exclusive RockinRinger,http://ad.jamster.com/landingpages/campaigns/int_o_flow/blue_3cat/?adv_partner=0010&partner_var=159,3375,1/1/09,$13.00,"<a href='http://x.azjmp.com/1GsV5'><img src='http://images.imgehost.com/1885/banners/01042007/120x600_jengav.gif' border='0'></a><div style='position:relative left:-1px; top:-1px;'><img src=""http://i.azjmp.com/1GsV7"" height=""1"" width=""1""></div>",120,600,no,no,mess_board_right,no,,,,,,
